Market,Market Rank (a),Number of Channels,Stations,NetworkAffiliation (b)
"Omaha, NE",74,7,"KPTM, KXVO(c)","FOX, CW, MNT"
"Rochester, NY",76,7,"WHAM(d), WUHF","ABC, FOX, CW"
"Columbia, SC",77,4,WACH,FOX
"Toledo, OH",78,4,WNWO,NBC
"Portland, ME",79,6,"WGME, WPFO(d)","CBS, FOX"
"Madison, WI",81,4,WMSN,FOX
"Paducah, KY/ Cape Girardeau, MO",82,7,"KBSI, WDKA","FOX, MNT"
"Harlingen / Weslaco / Brownsville / McAllen, TX",84,3,KGBT,CBS
"Syracuse, NY",85,7,"WTVH(d), WSTM, WSTQ-LP","CBS, NBC, CW"
"Champaign / Springfield / Decatur, IL",88,17,"WICS, WICD, WCCU(d), WRSP(d), WBUI(d)","ABC, FOX, CW"
"Chattanooga, TN",89,7,"WTVC, WFLI(d)","ABC, FOX, CW, MNT"
"Savannah, GA",90,4,WTGS,FOX
"Cedar Rapids, IA",91,7,"KGAN, KFXA(d)","CBS, FOX"
"Charleston, SC",92,3,WCIV,"ABC, MNT"
"El Paso, TX",93,7,"KDBC, KFOX","CBS, FOX"
"South Bend-Elkhart, IN",96,2,WSBT,"CBS, FOX"
"Tri-Cities, TN-VA",99,5,"WEMT(d), WCYB","FOX, NBC, CW"
"Greenville / New Bern / Washington, NC",100,5,"WCTI, WYDO(d)","ABC, FOX"
"Myrtle Beach / Florence, SC",101,7,"WPDE, WWMB(c)","ABC, CW"
"Boise, ID",104,7,"KBOI, KYUU-LD","CBS, CW Plus"
"Reno, NV",105,9,"KRXI, KRNV(d), KAME(c)","FOX, NBC, MNT"
"Lincoln and Hasting-Kearney, NE",106,11,"KHGI, KHGI-LD, KWNB, KHGI-CD, KWNB-LD, KFXL","ABC, FOX"
"Johnstown / Altoona, PA",107,4,WJAC,NBC
"Tallahassee, FL",108,7,"WTWC, WTLF(d)","NBC, FOX, CW Plus"
"Yakima / Pasco / Richland / Kennewick, WA",114,18,"KIMA, KEPR, KUNW-CD, KVVK-CD, KORX-CD","CBS, CW Plus"
"Traverse City / Cadillac, MI",118,12,"WGTU(d), WGTQ(d), WPBN, WTOM,","ABC, NBC"
"Eugene, OR",119,18,"KVAL, KCBY, KPIC(e), KMTR(d), KMCB(d), KTCW(d)","NBC, CBS, CW Plus"
"Macon, GA",120,3,WGXA,"ABC, FOX"
"Peoria / Bloomington, IL",122,3,WHOI,Comet
"Bakersfield, CA",126,7,"KBAK, KBFX-CD","CBS, FOX"
"Corpus Christi, TX",128,5,"KSCC, KTOV-LP, KXPX-LP","FOX, MNT"
"Amarillo, TX",131,8,"KVII, KVIH","ABC, CW Plus"
"Chico-Redding, CA",132,11,"KRCR, KCVU(d), KRVU-LD, KUCO-LP, KKTF-LD","ABC, FOX, MNT"
"Columbia / Jefferson City, MO",135,4,KRCG,CBS
"Medford, OR",136,4,KTVL,"CBS, CW Plus"
"Beaumont / Port Arthur / Orange, TX",142,7,"KFDM, KBTV(d)","CBS, FOX, CW Plus"
"Sioux City, IA",148,15,"KMEG(d), KBVK-LP, KPTH, KPTP-LD","CBS, FOX, MNT"
"Albany, GA",154,4,WFXL,FOX
"Wheeling, WV / Steubenville, OH",158,3,WTOV,"NBC, FOX"
"Gainesville, FL",159,7,"WNBW(d), WGFL(c),WYME-CD(c)","CBS, NBC, MNT"
"Missoula, MT",164,6,"KECI, KCFW",NBC
"Abilene / Sweetwater, TX",165,4,"KTXS, KTES-LD","ABC, CW"
"Quincy, IL / Hannibal, MO / Keokuk, IA",172,3,KHQA,"ABC, CBS"
"Butte / Bozeman, MT",185,3,KTVM,NBC
"Eureka, CA",195,8,"KAEF, KBVU(d), KECA-LD, KEUV-LP","ABC, FOX, CW, MNT"
"San Angelo, TX",196,3,KTXE-LD,"ABC, CW"
"Ottumwa, IA / Kirksville, MO",200,3,KTVO,"ABC, CBS"
