Market,Market Rank (a),Number of Channels,Stations,NetworkAffiliation (b)
"Tri-Cities, TN-VA",100,7,"WEMT(d), WCYB","FOX, NBC, CW"
"Boise, ID",101,8,"KBOI, KYUU-LD","CBS, CW Plus"
"Greenville / New Bern / Washington, NC",102,8,"WCTI-TV, WYDO(d)","ABC, FOX"
"Reno, NV",104,9,"KRXI, KRNV(d), KNSN(c)","FOX, NBC, MNT"
"Lincoln and Hastings-Kearney, NE",105,9,"KHGI, KWNB, KWNB-LD, KHGI-CD, KFXL","ABC, FOX"
"Johnstown / Altoona, PA",107,4,WJAC,"NBC, CW Plus"
"Tallahassee, FL",108,8,"WTWC, WTLF(d)","NBC, FOX, CW Plus"
"Eugene, OR",113,18,"KVAL, KCBY, KPIC(e), KMTR(d), KMCB(d), KTCW(d)","CBS, NBC, CW Plus"
"Yakima / Pasco / Richland / Kennewick, WA",117,18,"KIMA, KEPR, KUNW-CD, KVVK-CD, KORX-CD","CBS, CW Plus"
"Traverse City / Cadillac, MI",118,11,"WGTU(d), WGTQ(d), WPBN, WTOM","ABC, NBC"
"Macon, GA",120,3,WGXA,"FOX, ABC"
"Peoria / Bloomington, IL",123,1,WHOI,TBD
"Bakersfield, CA",125,8,"KBFX-CD, KBAK","FOX, CBS"
"Corpus Christi, TX",130,3,KSCC,"FOX, MNT"
"Amarillo, TX",131,8,"KVII, KVIH","ABC, CW Plus"
"Chico-Redding, CA",132,15,"KRCR-TV, KCVU(d), KRVU-LD, KKTF-LD, KUCO-LD","ABC, FOX, MNT"
"Medford / Klamath Falls, OR",134,4,KTVL,"CBS, CW Plus"
"Columbia / Jefferson City, MO",135,4,KRCG,CBS
"Beaumont / Port Arthur / Orange, TX",144,8,"KFDM, KBTV(d)","CBS, CW Plus, FOX"
"Sioux City, IA",148,14,"KPTH, KPTP-LD, KBVK-LP, KMEG(d)","FOX, MNT, CBS"
"Albany, GA",154,4,WFXL,FOX
"Gainesville, FL",160,8,"WGFL(c), WNBW(c), WYME-CD(c)","CBS, NBC, MNT"
"Missoula, MT",161,6,"KECI-TV, KCFW",NBC
"Wheeling, WV / Steubenville, OH",163,3,WTOV,"NBC, FOX"
"Abilene / Sweetwater, TX",165,4,"KTXS-TV, KTES-LD","ABC, CW Plus"
"Quincy, IL / Hannibal, MO / Keokuk, IA",174,3,KHQA,"CBS, ABC"
"Butte / Bozeman, MT",185,6,"KTVM-TV, KDBZ-CD",NBC
"Eureka, CA",193,10,"KAEF-TV, KBVU(d), KECA-LD, KEUV-LP","ABC, FOX, CW Plus, MNT"
"San Angelo, TX",197,3,KTXE-LD,"ABC, CW Plus"
"Ottumwa, IA / Kirksville, MO",200,3,KTVO,"ABC, CBS"
