Market,MarketRank (a),StationsinMarket,Stations,Channel,Status (b),Network/Program ServiceArrangement (c),StationRank inMarket (d),ExpirationDate of FCCLicense
"Tallahassee, Florida",106,1,WTWCWTWC,PrimarySecond,O&O,NBCZuus Country,3 of 6,2/01/13 (f)
"Reno, Nevada",107,3,KRNVKRXIKAMEKRXIKAMEKRNV,PrimaryPrimaryPrimarySecondSecondSecond,JSA/SSA(h)O&OLMA(g) ,NBCFOXMNTRetro TVME TVThis TV,2 of 64 of 65 of 6 ,10/01/1410/01/1410/01/14 
"Boise, Idaho",110,2,KBOIKYUU-LD,PrimaryPrimary,O&OO&O,CBSCW,2 of 66 of 6,10/01/1410/01/14
"Peoria/Bloomington, Illinois",117,1,WHOIWHOI,PrimarySecond,JSA/SSA(i),ABCCW,3 of 6,12/01/21
"Traverse City/Cadillac, MI",119,4,WPBN/ WTOMWGTU/WGTQWPBN/ WTOMWGTU/WGTQ,Primary Primary Second Second,O&O JSA/SSA(h),NBC ABC ABC NBC,2 of 44 of 4,10/01/2110/01/21 
"Eugene, Oregon",121,6,KVAL/KCBY/KPICKMTR/KMCB/KTCWKVALKMTR,Primary  Primary  SecondSecond,O&O  JSA/SSA(h),CBS  NBC  This TVCW,1 of 53 of 5,2/01/152/01/15
"Yakima/Pasco/Richland/Kennewick, Washington",124,4,KIMA/KEPRKUNW-CD/KVVK-CDKIMA,Primary Primary   Second,O&O O&O,CBS Univision   CW,1 of 65 of 6,2/01/152/01/15
"Bakersfield, California",127,2,KBAKKBFX-CDKBFX-CD,PrimaryPrimarySecond,O&OO&O,CBSFOXThis TV,2 of 65 of 6,12/01/1412/01/14
"Amarillo, Texas",130,2,KVIIKVIHKVIIKVIH,PrimaryPrimarySecondSecond,O&OO&O,ABCCWCWABC,2 of 8Not available,8/01/1410/01/14
"Columbia/Jefferson City, Missouri",138,1,KRCG,Primary,O&O,CBS,1 of 6,2/01/14
"Medford, Oregon",140,1,KTVLKTVL,PrimarySecond,O&O,CBSCW,2 of 4,2/01/15
"Beaumont, Texas",141,2,KFDMKBTVKFDMKBTV,PrimaryPrimarySecondSecond,O&OJSA/SSA(h),CBSFOXCWBounce Network,1 of 63 of 6 ,8/01/148/01/06 (e)
"Sioux City, Iowa",147,4,KMEGKPTH/KPTP-LD/ KBVK-LPKMEGKPTH,PrimaryPrimary  SecondSecond,JSA/SSA(h)O&O,CBSFOX  AztecaThis TV and MNT,3 of 64 of 6,2/01/142/01/14
"Albany, Georgia",151,1,WFXLWFXL,PrimarySecond,O&O,FOXBounce Network,3 of 6,4/01/21
"Steubenville, OH / Wheeling, WV",157,1,WTOVWTOV,PrimarySecond,O&O,NBCME TV,1 of 4,10/01/13 (f)
"Quincy, IL/Hannibal, MO/Keokuk, IA",170,1,KHQAKHQA,PrimarySecond,O&O,CBSABC,2 of 5,2/01/14
"Marquette, Michigan",180,1,WLUCWLUC,PrimarySecond,O&O,NBCFOX,1 of 5,10/01/21
"Ottumwa, IA/Kirksville, MO",201,1,KTVOKTVO,PrimarySecond,O&O,ABCCBS,1 of 3,2/01/14
