Market,Market Rank (a),Number of Channels,Stations(b),NetworkAffiliation(c)
"Charleston / Huntington, WV",67,6,"WCHS, WVAH","ABC, FOX"
"Green Bay / Appleton, WI",68,4,"WLUK, WCWF","FOX, CW"
"Roanoke / Lynchburg, VA",69,3,WSET,ABC
"Flint / Saginaw / Bay City, MI",71,9,"WEYI(e), WSMH, WBSF(e)","NBC, FOX, CW"
"Des Moines / Ames, IA",72,3,KDSM,FOX
"Spokane, WA",73,3,KLEW,CBS
"Omaha, NE",74,6,"KPTM, KXVO(d)","FOX, CW, MNT"
"Rochester, NY",76,6,"WHAM(e), WUHF","ABC, FOX, CW"
"Toledo, OH",77,3,WNWO,NBC
"Columbia, SC",78,3,WACH,FOX
"Portland, ME",80,5,"WGME, WPFO(e)","CBS, FOX"
"Madison, WI",81,3,WMSN,FOX
"Cape Girardeau, MO / Paducah, KY",82,6,"KBSI, WDKA(d)","FOX, MNT"
"Syracuse, NY",84,6,"WSTM, WTVH(e)","NBC, CBS, CW"
"Champaign / Springfield / Decatur, IL",85,13,"WICD, WICS, WRSP(e), WCCU(e), WBUI(e)","ABC, FOX, CW"
"Harlingen / Weslaco / Brownsville / McAllen, TX",86,3,KGBT,CBS
"Chattanooga, TN",88,6,"WTVC , WFLI","ABC, CW, FOX, MNT"
"Cedar Rapids, IA",90,6,"KGAN, KFXA(e)","CBS, FOX"
"Savannah, GA",91,3,WTGS,FOX
"El Paso, TX",92,6,"KDBC, KFOX","CBS, FOX, MNT"
"Charleston, SC",94,3,WCIV,"MNT, ABC"
"Myrtle Beach / Florence, SC",102,5,"WPDE, WWMB(d)","ABC, CW"
"Johnstown / Altoona, PA",104,3,WJAC,NBC
"Reno, NV",106,8,"KRNV(e), KRXI, KAME(d)","NBC, FOX, MNT"
"Boise, ID",107,6,KBOI,"CBS, CW"
"Tallahassee, FL",108,5,"WTWC, WTLF(e)","NBC, CW, FOX"
"Peoria / Bloomington, IL",117,3,WHOI(f),"ABC, CW"
"Traverse City / Cadillac, MI",118,12,"WPBN, WTOM, WGTU(e), WGTQ(e)","NBC, ABC"
"Eugene, OR",119,16,"KVAL, KCBY, KPIC(g), KMTR(e), KMCB(e), KTCW(e)","CBS, NBC, CW"
"Macon, GA",120,3,WGXA,"FOX, ABC"
"Yakima / Pasco / Richland / Kennewick, WA",123,12,"KEPR, KIMA, KVVK-CD, KUNW-CD","CBS, CW, Univision"
"Bakersfield, CA",126,6,KBAK,"CBS, FOX"
"Amarillo, TX",131,6,"KVII, KVIH","ABC, CW"
"Columbia / Jefferson City, MO",138,3,KRCG,CBS
"Medford, OR",140,3,KTVL,"CBS, CW"
"Beaumont, TX",142,6,"KFDM, KBTV(e)","CBS, FOX, CW"
"Sioux City, IA",149,8,"KMEG(e), KPTH","CBS, FOX, MNT"
"Albany, GA",152,3,WFXL,FOX
"Wheeling, WV / Steubenville, OH",157,3,WTOV,"NBC, FOX"
"Gainesville, FL",162,6,"WGFL(d), WNBW(e)","CBS, NBC, MNT"
"Quincy, IL / Hannibal, MO / Keokuk, IA",170,3,KHQA,"CBS, ABC"
"Marquette, MI",180,3,WLUC,"NBC, FOX"
"Ottumwa, IA / Kirksville, MO",200,3,KTVO,"ABC, CBS"
