code,market
577.00,"Wilkes Barre / Scranton, PA"
693.00,"Little Rock / Pine Bluff, AR"
556.00,"Richmond, VA"
525.00,"Albany, NY"
686.00,"Mobile, AL / Pensacola, FL"
671.00,"Tulsa, OK"
541.00,"Lexington, KY"
541.00,"Dayton, OH"
678.00,"Wichita / Hutchinson, KS"
564.00,"Charleston / Huntington, WV"
573.00,"Roanoke / Lynchburg, VA"
568.00,"Green Bay / Appleton, WI"
513.00,"Flint / Saginaw / Bay City, MI"
679.00,"Des Moines, IA"
881.00,"Spokane, WA"
652.00,"Omaha, NE"
547.00,"Toledo, OH"
546.00,"Columbia, SC"
61.00,"Rochester, NY"
820.00,"Portland, ME"
632.00,"Cape Girardeau, MO / Paducah, KY"
669.00,"Madison, WI"
555.00,"Syracuse, NY"
648.00,"Champaign / Springfield / Decatur, IL"
636.00,"Harlingen / Weslaco / Brownsville / McAllen, TX"
575.00,"Chattanooga, TN"
637.00,"Cedar Rapids, IA"
765.00,"El Paso, TX"
507.00,"Savannah, GA"
519.00,"Charleston, SC"
570.00,"Myrtle Beach / Florence, SC"
574.00,"Johnstown / Altoona, PA"
530.00,"Tallahassee, FL"
811.00,"Reno, NV"
757.00,"Boise, ID"
675.00,"Peoria / Bloomington, IL"
540.00,"Traverse City / Cadillac, MI"
503.00,"Macon, GA"
801.00,"Eugene, OR"
810.00,"Yakima / Pasco / Richland / Kennewick, WA"
800.00,"Bakersfield, CA"
634.00,"Amarillo, TX"
604.00,"Columbia / Jefferson City, MO"
813.00,"Medford, OR"
692.00,"Beaumont, TX"
624.00,"Sioux City, IA"
525.00,"Albany, GA"
554.00,"Wheeling, WV / Steubenville, OH"
592.00,"Gainesville, FL"
717.00,"Quincy, IL / Hannibal, MO / Keokuk, IA"
553.00,"Marquette, MI"
631.00,"Ottumwa, IA / Kirksville, MO"
819.00,"Seattle / Tacoma, WA"
613.00,"Minneapolis / St.Paul, MN"
567.00,"Asheville, NC / Anderson, SC / Greenville-Spartanburg, SC"
548.00,"West Palm Beach / Fort Pierce, FL"
679.00,"Des Moines / Ames, IA"
613.00,"Minneapolis / St. Paul, MN"
567.00,"Asheville, NC / Greenville, SC"
630.00,"Birmingham / Tuscaloosa, AL"
632.00,"Paducah, KY/ Cape Girardeau, MO"
588.00,"South Bend-Elkhart, IN"
722.00,"Lincoln and Hasting-Kearney, NE"
600.00,"Corpus Christi, TX"
692.00,"Beaumont/Port Arthur/Orange, TX"
531.00,"Tri-Cities, TN-VA"
545.00,"Greenville / New Bern / Washington, NC"
868.00,"Chico-Redding, CA"
692.00,"Beaumont / Port Arthur / Orange, TX"
762.00,"Missoula, MT"
662.00,"Abilene / Sweetwater, TX"
754.00,"Butte / Bozeman, MT"
802.00,"Eureka, CA"
661.00,"San Angelo, TX"
563.00,"Grand Rapids / Kalamazoo / Battle Creek, MI"
541.00,"Lexington, KY (f)"
678.00,"Wichita, KS"
636.00,"Harlingen / Weslaco / Brownsville / McAllen, TX (f)"
813.00,"Medford / Klamath Falls, OR"
511.00,"Washington, D.C."
548.00,"West Palm Beach / Ft Pierce, FL"
518.00,"Greensboro / High Point / Winston-Salem, NC"
679.00,"Des Moines, IA"
632.00,"Paducah, KY / Cape Girardeau, MO"
648.00,"Champaign / Springfield / Decatur, IL"
637.00,"Cedar Rapids, IA"
757.00,"Boise, ID"
722.00,"Lincoln and Hastings-Kearney, NE"
675.00,"Peoria / Bloomington, IL"
624.00,"Sioux City, IA"
717.00,"Quincy, IL / Hannibal, MO / Keokuk, IA"
631.00,"Ottumwa, IA / Kirksville, MO"
