Market,MarketRank (a),Stations,Channel,Status (b),Network/Program ServiceArrangement (c),StationRank inMarket (d),ExpirationDate of FCCLicense
"Springfield/Champaign/ Decatur, Illinois",83,WICSWICDWRSPWBUIWCCUWICSWRSPWCCUWBUI,PrimaryPrimaryPrimaryPrimaryPrimarySecondSecondSecondSecond,O&OO&OOSAOSAOSA,ABCABCFOXCWFOXThe Country NetworkME TVME TVThis TV,3 of 63 of 6 (m)4 of 65 of 64 of 6 (n),12/01/05 (e)12/01/1312/01/1312/01/1312/01/13
"Syracuse, New York",84,WSYTWNYSWSYT,PrimaryPrimarySecond,O&OLMA,FOXMNTThe Country Network,4 of 65 of 6,6/01/156/01/15
"Madison, Wisconsin",85,WMSNWMSN,PrimarySecond,O&O,FOXThe Country Network,4 of 6,12/01/13
"Chattanooga, Tennessee",87,WTVCWTVC,PrimarySecond,O&O,ABCThis TV,1 of 6,8/01/13
"Cedar Rapids, Iowa",90,KGANKFXAKFXA,PrimaryPrimarySecond,O&OOSA(j),CBSFOXThe Country Network,3 of 44 of 4,2/01/06 (e)2/01/14
"Charleston, South Carolina",98,WTATWMMPWMMP,PrimaryPrimarySecond,LMA(g)O&O,FOXMNTThe Country Network,4 of 65 of 6,12/01/04 (e)12/01/04 (e)
"Tallahassee, Florida",106,WTWCWTWC,PrimarySecond,O&O,NBCThe Country Network,3 of 6,2/01/13 (f)
"Lansing, Michigan",115,WLAJWLAJ,PrimarySecond,O&O(u),ABCCW,4 of 6,10/01/13
"Peoria/Bloomington, Illinois",116,WYZZWYZZ,PrimarySecond,O&O(i),FOXThe Country Network,not available,12/01/13
"Medford, Oregon",140,KTVLKTVL,PrimarySecond,O&O,CBSCW,2 of 6,2/01/15
"Beaumont, Texas",141,KFDMKBTVKFDMKBTV,PrimaryPrimarySecondSecond,O&OOSA(q),CBSFOXCWBounce Network,1 of 63 of 6,8/01/148/01/06 (e)
 ,,,,,,,
