Market,MarketRank (a),Stations,Channel,Status (b),Network/Program ServiceArrangement (c),StationRank inMarket (d),ExpirationDate of FCCLicense
"Las Vegas, Nevada",42,KVMYKVCWKVMYKVCWKVCW,PrimaryPrimarySecondSecondThird,O&OO&O,MNTCWEstella TVThis TVThe Country Network,6 of 75 of 7,10/01/1410/01/14
"Norfolk, Virginia",43,WTVZWTVZWTVZ,PrimarySecondThird,O&O,MNTTheCoolTVThe Country Network,6 of 7,10/01/12
"Oklahoma City, Oklahoma",45,KOKHKOCBKOKHKOCB,PrimaryPrimarySecondSecond,O&OO&O,FOXCWThe Country NetworkTheCoolTV,4 of 85 of 8,6/01/146/01/14
"Greensboro/Winston-Salem/Highpoint, North Carolina",47,WXLVWMYVWXLVWMYV,PrimaryPrimarySecondSecond,O&OO&O,ABCMNTThe Country NetworkTheCoolTV,4 of 75 of 7,12/01/04 (f)(m)12/01/04 (f)(m)
"Buffalo, New York",51,WUTVWNYOWUTVWNYO,PrimaryPrimarySecondSecond,O&OO&O,FOXMNTThe Country NetworkTheCoolTV,4 of 76 of 7,6/01/156/01/15
"Richmond, Virginia",57,WRLHWRLHWRLH,PrimarySecondThird,O&O,FOXThis TV and MNTTheCoolTV,4 of 6,10/01/12
"Mobile, Alabama/Pensacola, Florida",60,WEARWFGXWFGXWFGX,PrimaryPrimarySecondThird,O&OO&O,ABCThis TV and MNTTheCoolTVThe Country Network,2 of 86 of 8,2/01/132/01/13
"Dayton, Ohio",62,WKEFWRGTWKEFWRGT,PrimaryPrimarySecondSecond,O&OLMA(g),ABCFOXTheCoolTVThis TV and MNT,2 of 54 of 5,10/01/1310/01/05 (f)(m)
"Lexington, Kentucky",63,WDKYWDKY,PrimarySecond,O&O,FOXTheCoolTV,3 of 8,8/01/13
"Charleston/Huntington, West Virginia",64,WCHSWVAHWCHSWVAH,PrimaryPrimarySecondSecond,O&OLMA(g),ABCFOXTheCoolTVThe Country Network,2 of 64 of 6,10/01/1210/01/04 (f)(m)
"Flint/Saginaw/Bay City, Michigan",69,WSMHWSMHWSMH,PrimarySecondThird,O&O,FOXTheCoolTVThe Country Network,4 of 6,10/01/13
"Des Moines, Iowa",73,KDSMKDSMKDSM,PrimarySecondThird,O&O,FOXTheCoolTVThe Country Network,4 of 6,2/01/14
"Portland, Maine",77,WGMEWGME,PrimarySecond,O&O,CBSTheCoolTV,2 of 6,4/01/15
"Cape Girardeau, Missouri/ Paducah, Kentucky",80,KBSIWDKAKBSIWDKA WDKA,PrimaryPrimarySecondSecondThird,O&OLMA,FOXMNTMNTTheCoolTVThe Country Network,4 of 65 of 6,2/01/148/01/13
"Rochester, New York",81,WUHFWUHF,PrimarySecond,O&O(j),FOXTheCoolTV,not available,6/01/15
"Syracuse, New York",82,WSYTWNYSWSYTWNYS,PrimaryPrimarySecondSecond,O&OLMA,FOXMNTThe Country NetworkTheCoolTV,4 of 65 of 6,6/01/156/01/15
"Springfield/Champaign, Illinois",84,WICSWICDWICSWICD,PrimaryPrimarySecondSecond,O&OO&O,ABCABCThe Country NetworkTheCoolTV,2 of 62 of 6 (k),12/01/05 (f)(m)12/01/13
"Madison, Wisconsin",85,WMSNWMSNWMSN,PrimarySecondThird,O&O,FOXTheCoolTVThe Country Network,4 of 6,12/01/13
"Cedar Rapids, Iowa",88,KGANKFXAKGANKFXA,PrimaryPrimarySecondSecond,O&OOSA(l),CBSFOXTheCoolTVThe Country Network,3 of 54 of 5,2/01/06 (f)(m)2/01/14
"Charleston, South Carolina",98,WTATWMMPWMMPWMMP,PrimaryPrimarySecondThird,LMA(g)O&O,FOXMNTTheCoolTVThe Country Network,4 of 65 of 6,12/01/04 (f)(m)12/01/04 (f)
"Tallahassee, Florida",105,WTWCWTWCWTWC,PrimarySecondThird,O&O,NBCTheCoolTVThe Country Network,3 of 6,2/01/13
"Peoria/Bloomington, Illinois",116,WYZZWYZZWYZZ,PrimarySecondThird,O&O(j),FOXTheCoolTVThe Country Network,not available,12/01/13
